Country Code,Country Name,year,tem_change
HND,Honduras,1961,-0.127
HUN,Hungary,1961,1.183
ISL,Iceland,1961,0.574
IND,India,1961,-0.23
IDN,Indonesia,1961,-0.062
IRN,Iran (Islamic Republic of),1961,-0.081
IRQ,Iraq,1961,-0.167
IRL,Ireland,1961,0.269
IMN,Isle of Man,1961,0.366
ISR,Israel,1961,-0.129
ITA,Italy,1961,0.813
JAM,Jamaica,1961,-0.015
JPN,Japan,1961,0.661
JOR,Jordan,1961,-0.165
KAZ,Kazakhstan,1961,
KEN,Kenya,1961,0.252
KIR,Kiribati,1961,-0.039
KWT,Kuwait,1961,-0.284
KGZ,Kyrgyzstan,1961,
LAO,Lao People's Democratic Republic,1961,0.034
LVA,Latvia,1961,
LBN,Lebanon,1961,-0.023
LSO,Lesotho,1961,0.393
LBR,Liberia,1961,-0.094
LBY,Libya,1961,-0.413
LIE,Liechtenstein,1961,1.06
LTU,Lithuania,1961,
LUX,Luxembourg,1961,
MDG,Madagascar,1961,0.575
MWI,Malawi,1961,0.36
MYS,Malaysia,1961,-0.014
MDV,Maldives,1961,
MLI,Mali,1961,-0.322
MLT,Malta,1961,0.581
MHL,Marshall Islands,1961,
MTQ,Martinique,1961,0.035
MRT,Mauritania,1961,-0.057
MUS,Mauritius,1961,0.516
MYT,Mayotte,1961,0.399
MEX,Mexico,1961,-0.14
FSM,Micronesia (Federated States of),1961,
MID,Midway Island,1961,0.13
MCO,Monaco,1961,0.763
MNG,Mongolia,1961,0.173
MNE,Montenegro,1961,
MSR,Montserrat,1961,0.057
MAR,Morocco,1961,0.57
MOZ,Mozambique,1961,0.409
MMR,Myanmar,1961,0.015
NAM,Namibia,1961,0.184
NRU,Nauru,1961,-0.368
NPL,Nepal,1961,0.119
NLD,Netherlands,1961,0.851
ANT,Netherlands Antilles (former),1961,-0.09
NCL,New Caledonia,1961,-0.22
NZL,New Zealand,1961,-0.292
NIC,Nicaragua,1961,-0.212
NER,Niger,1961,-0.688
NGA,Nigeria,1961,-0.227
NIU,Niue,1961,0.245
NFK,Norfolk Island,1961,-0.334
MKD,North Macedonia,1961,
NOR,Norway,1961,1.24
OMN,Oman,1961,-0.284
,Pacific Islands Trust Territory,1961,0.025
PAK,Pakistan,1961,-0.244
PLW,Palau,1961,
PSE,Palestine,1961,-0.135
PAN,Panama,1961,
PNG,Papua New Guinea,1961,-0.228
PRY,Paraguay,1961,0.578
PER,Peru,1961,-0.023
PHL,Philippines,1961,-0.134
,Pitcairn Islands,1961,0.598
POL,Poland,1961,1.4
PRT,Portugal,1961,0.834
PRI,Puerto Rico,1961,0.001
QAT,Qatar,1961,-0.524
KOR,Republic of Korea,1961,0.644
MDA,Republic of Moldova,1961,
REU,Réunion,1961,0.474
ROU,Romania,1961,1.065
RUS,Russian Federation,1961,
RWA,Rwanda,1961,0.002
SHN,"Saint Helena, Ascension and Tristan da Cunha",1961,0.159
KNA,Saint Kitts and Nevis,1961,0.057
LCA,Saint Lucia,1961,0.108
SPM,Saint Pierre and Miquelon,1961,-0.014
VCT,Saint Vincent and the Grenadines,1961,0.165
WSM,Samoa,1961,0.008
SMR,San Marino,1961,0.928
STP,Sao Tome and Principe,1961,-0.105
SAU,Saudi Arabia,1961,-0.186
SEN,Senegal,1961,-0.218
SRB,Serbia,1961,
SCG,Serbia and Montenegro,1961,
SYC,Seychelles,1961,0.331
SLE,Sierra Leone,1961,-0.079
SGP,Singapore,1961,0.032
SVK,Slovakia,1961,
SVN,Slovenia,1961,
SLB,Solomon Islands,1961,0.146
SOM,Somalia,1961,0.305
ZAF,South Africa,1961,0.267
SGS,South Georgia and the South Sandwich Islands,1961,-0.386
SSD,South Sudan,1961,
ESP,Spain,1961,0.739
LKA,Sri Lanka,1961,-0.161
SDN,Sudan,1961,
,Sudan (former),1961,-0.075
SUR,Suriname,1961,-0.059
SJM,Svalbard and Jan Mayen Islands,1961,0.564
SWE,Sweden,1961,1.576
CHE,Switzerland,1961,0.995
SYR,Syrian Arab Republic,1961,-0.034
TJK,Tajikistan,1961,
THA,Thailand,1961,-0.166
TLS,Timor-Leste,1961,-0.423
TGO,Togo,1961,-0.043
TKL,Tokelau,1961,-0.068
TON,Tonga,1961,0.335
TTO,Trinidad and Tobago,1961,0.297
TUN,Tunisia,1961,0.268
TUR,Turkey,1961,0.18
TKM,Turkmenistan,1961,
TCA,Turks and Caicos Islands,1961,0.137
TUV,Tuvalu,1961,-0.021
UGA,Uganda,1961,-0.01
UKR,Ukraine,1961,
ARE,United Arab Emirates,1961,-0.288
,United Kingdom,1961,0.495
TZA,United Republic of Tanzania,1961,0.356
USA,United States of America,1961,0.0
VIR,United States Virgin Islands,1961,0.075
URY,Uruguay,1961,0.38
,USSR,1961,0.837
UZB,Uzbekistan,1961,
VUT,Vanuatu,1961,0.168
VEN,Venezuela (Bolivarian Republic of),1961,0.003
VNM,Viet Nam,1961,0.022
WAK,Wake Island,1961,
WLF,Wallis and Futuna Islands,1961,0.317
ESH,Western Sahara,1961,0.528
YEM,Yemen,1961,0.033
,Yugoslav SFR,1961,0.922
ZMB,Zambia,1961,0.239
ZWE,Zimbabwe,1961,0.277
X01,World,1961,0.207
X06,Africa,1961,-0.017
,Eastern Africa,1961,0.252
,Middle Africa,1961,-0.1
,Northern Africa,1961,-0.03
,Southern Africa,1961,0.212
,Western Africa,1961,-0.289
X21,Americas,1961,0.052
,Northern America,1961,0.017
,Central America,1961,-0.139
,Caribbean,1961,-0.004
,South America,1961,0.116
,Asia,1961,0.049
,Central Asia,1961,
,Eastern Asia,1961,0.27
,Southern Asia,1961,-0.16
,South-Eastern Asia,1961,-0.052
,Western Asia,1961,-0.1
,Europe,1961,0.874
,Eastern Europe,1961,0.85
,Northern Europe,1961,1.271
,Southern Europe,1961,0.768
,Western Europe,1961,0.908
,Oceania,1961,0.116
,Australia and New Zealand,1961,0.136
,Melanesia,1961,-0.184
,Micronesia,1961,0.002
,Polynesia,1961,0.083
,European Union,1961,1.039
,Least Developed Countries,1961,-0.041
,Land Locked Developing Countries,1961,-0.066
,Small Island Developing States,1961,-0.102
,Low Income Food Deficit Countries,1961,-0.085
,Net Food Importing Developing Countries,1961,-0.015
,Annex I countries,1961,0.453
,Non-Annex I countries,1961,0.029
,OECD,1961,0.165
AFG,Afghanistan,1962,-0.12
ALB,Albania,1962,0.339
DZA,Algeria,1962,0.101
ASM,American Samoa,1962,-0.08
AND,Andorra,1962,0.11
AGO,Angola,1962,-0.139
AIA,Anguilla,1962,0.059
ATA,Antarctica,1962,-0.227
ATG,Antigua and Barbuda,1962,0.07
ARG,Argentina,1962,-0.058
ARM,Armenia,1962,
ABW,Aruba,1962,0.072
AUS,Australia,1962,0.123
AUT,Austria,1962,-0.619
AZE,Azerbaijan,1962,
BHS,Bahamas,1962,-0.128
BHR,Bahrain,1962,0.418
BGD,Bangladesh,1962,-0.254
BRB,Barbados,1962,0.09
BLR,Belarus,1962,
BEL,Belgium,1962,
,Belgium-Luxembourg,1962,-0.803
BLZ,Belize,1962,-0.2
BEN,Benin,1962,-0.222
BTN,Bhutan,1962,-0.278
BOL,Bolivia (Plurinational State of),1962,0.001
BIH,Bosnia and Herzegovina,1962,
BWA,Botswana,1962,0.217
BRA,Brazil,1962,-0.18
VGB,British Virgin Islands,1962,0.04
BRN,Brunei Darussalam,1962,-0.068
BGR,Bulgaria,1962,0.474
BFA,Burkina Faso,1962,-0.251
BDI,Burundi,1962,-0.452
CPV,Cabo Verde,1962,0.263
KHM,Cambodia,1962,-0.127
CMR,Cameroon,1962,-0.193
CAN,Canada,1962,-0.124
CYM,Cayman Islands,1962,-0.06
CAF,Central African Republic,1962,-0.301
TCD,Chad,1962,-0.263
CHA,Channel Islands,1962,-0.635
CHL,Chile,1962,0.215
CHN,China,1962,-0.138
HKG,"China, Hong Kong SAR",1962,-0.09
MAC,"China, Macao SAR",1962,-0.09
,"China, mainland",1962,-0.138
TWN,"China, Taiwan Province of",1962,-0.157
CXR,Christmas Island,1962,
CCK,Cocos (Keeling) Islands,1962,0.069
COL,Colombia,1962,-0.123
COM,Comoros,1962,-0.03
COG,Congo,1962,-0.026
COK,Cook Islands,1962,-0.155
CRI,Costa Rica,1962,
CIV,Côte d'Ivoire,1962,-0.093
HRV,Croatia,1962,
CUB,Cuba,1962,0.008
CYP,Cyprus,1962,0.799
CZE,Czechia,1962,
,Czechoslovakia,1962,-0.571
PRK,Democratic People's Republic of Korea,1962,-0.07
COD,Democratic Republic of the Congo,1962,-0.15
DNK,Denmark,1962,-0.648
DJI,Djibouti,1962,-0.213
DMA,Dominica,1962,0.115
DOM,Dominican Republic,1962,-0.091
ECU,Ecuador,1962,-0.246
EGY,Egypt,1962,0.664
SLV,El Salvador,1962,-0.189
GNQ,Equatorial Guinea,1962,-0.034
ERI,Eritrea,1962,
EST,Estonia,1962,
SWZ,Eswatini,1962,0.441
ETH,Ethiopia,1962,
,Ethiopia PDR,1962,-0.173
FLK,Falkland Islands (Malvinas),1962,0.401
FRO,Faroe Islands,1962,-0.479
FJI,Fiji,1962,-0.08
FIN,Finland,1962,-0.333
FRA,France,1962,-0.298
,French Guiana,1962,-0.096
PYF,French Polynesia,1962,-0.186
,French Southern and Antarctic Territories,1962,-0.058
GAB,Gabon,1962,-0.035
GMB,Gambia,1962,-0.062
GEO,Georgia,1962,
DEU,Germany,1962,-0.751
GHA,Ghana,1962,-0.122
GIB,Gibraltar,1962,0.521
GRC,Greece,1962,0.613
GRL,Greenland,1962,0.841
GRD,Grenada,1962,0.041
GLP,Guadeloupe,1962,0.081
GTM,Guatemala,1962,-0.143
GIN,Guinea,1962,-0.151
GNB,Guinea-Bissau,1962,-0.085
GUY,Guyana,1962,-0.151
HTI,Haiti,1962,-0.091
VAT,Holy See,1962,0.098
HND,Honduras,1962,-0.198
HUN,Hungary,1962,-0.413
ISL,Iceland,1962,-0.25
IND,India,1962,-0.531
IDN,Indonesia,1962,-0.021
IRN,Iran (Islamic Republic of),1962,0.276
IRQ,Iraq,1962,0.919
IRL,Ireland,1962,-0.684
IMN,Isle of Man,1962,-0.74
ISR,Israel,1962,0.803
ITA,Italy,1962,0.045
JAM,Jamaica,1962,-0.013
JPN,Japan,1962,0.118
JOR,Jordan,1962,1.036
KAZ,Kazakhstan,1962,
KEN,Kenya,1962,-0.251
KIR,Kiribati,1962,-0.143
KWT,Kuwait,1962,0.752
KGZ,Kyrgyzstan,1962,
LAO,Lao People's Democratic Republic,1962,-0.274
LVA,Latvia,1962,
LBN,Lebanon,1962,0.847
LSO,Lesotho,1962,0.295
LBR,Liberia,1962,-0.09
LBY,Libya,1962,0.206
LIE,Liechtenstein,1962,-0.475
LTU,Lithuania,1962,
LUX,Luxembourg,1962,
MDG,Madagascar,1962,-0.064
MWI,Malawi,1962,-0.167
MYS,Malaysia,1962,-0.103
MDV,Maldives,1962,-0.049
MLI,Mali,1962,-0.174
MLT,Malta,1962,0.414
MHL,Marshall Islands,1962,
MTQ,Martinique,1962,0.118
MRT,Mauritania,1962,0.13
MUS,Mauritius,1962,-0.076
MYT,Mayotte,1962,-0.01
MEX,Mexico,1962,0.189
FSM,Micronesia (Federated States of),1962,
MID,Midway Island,1962,0.256
MCO,Monaco,1962,-0.032
MNG,Mongolia,1962,-0.104
MNE,Montenegro,1962,
MSR,Montserrat,1962,0.07
MAR,Morocco,1962,0.415
MOZ,Mozambique,1962,0.074
MMR,Myanmar,1962,-0.074
NAM,Namibia,1962,-0.09
NRU,Nauru,1962,
NPL,Nepal,1962,-0.449
NLD,Netherlands,1962,-0.91
ANT,Netherlands Antilles (former),1962,0.065
NCL,New Caledonia,1962,0.107
NZL,New Zealand,1962,0.602
NIC,Nicaragua,1962,-0.435
NER,Niger,1962,-0.148
NGA,Nigeria,1962,-0.267
NIU,Niue,1962,-0.331
NFK,Norfolk Island,1962,0.377
MKD,North Macedonia,1962,
NOR,Norway,1962,-0.785
OMN,Oman,1962,0.732
,Pacific Islands Trust Territory,1962,0.02
PAK,Pakistan,1962,-0.235
PLW,Palau,1962,
PSE,Palestine,1962,0.797
PAN,Panama,1962,
PNG,Papua New Guinea,1962,0.169
PRY,Paraguay,1962,-0.646
PER,Peru,1962,-0.16
PHL,Philippines,1962,-0.097
,Pitcairn Islands,1962,0.146
POL,Poland,1962,-0.513
PRT,Portugal,1962,0.54
PRI,Puerto Rico,1962,-0.047
QAT,Qatar,1962,0.47
KOR,Republic of Korea,1962,-0.088
MDA,Republic of Moldova,1962,
REU,Réunion,1962,-0.137
ROU,Romania,1962,0.171
RUS,Russian Federation,1962,
RWA,Rwanda,1962,-0.254
SHN,"Saint Helena, Ascension and Tristan da Cunha",1962,-0.05
KNA,Saint Kitts and Nevis,1962,0.07
LCA,Saint Lucia,1962,0.08
SPM,Saint Pierre and Miquelon,1962,-0.096
VCT,Saint Vincent and the Grenadines,1962,0.027
WSM,Samoa,1962,-0.071
SMR,San Marino,1962,-0.107
STP,Sao Tome and Principe,1962,-0.051
SAU,Saudi Arabia,1962,0.674
SEN,Senegal,1962,-0.022
SRB,Serbia,1962,
SCG,Serbia and Montenegro,1962,
SYC,Seychelles,1962,0.058
SLE,Sierra Leone,1962,-0.075
SGP,Singapore,1962,-0.19
SVK,Slovakia,1962,
SVN,Slovenia,1962,
SLB,Solomon Islands,1962,0.104
SOM,Somalia,1962,-0.046
ZAF,South Africa,1962,0.229
SGS,South Georgia and the South Sandwich Islands,1962,0.224
SSD,South Sudan,1962,
ESP,Spain,1962,0.426
LKA,Sri Lanka,1962,-0.125
SDN,Sudan,1962,
,Sudan (former),1962,-0.194
SUR,Suriname,1962,-0.161
SJM,Svalbard and Jan Mayen Islands,1962,-1.364
SWE,Sweden,1962,-0.694
CHE,Switzerland,1962,-0.351
SYR,Syrian Arab Republic,1962,0.999
TJK,Tajikistan,1962,
THA,Thailand,1962,-0.161
TLS,Timor-Leste,1962,-0.058
TGO,Togo,1962,-0.137
TKL,Tokelau,1962,0.089
TON,Tonga,1962,-0.177
TTO,Trinidad and Tobago,1962,0.313
TUN,Tunisia,1962,0.067
TUR,Turkey,1962,1.044
TKM,Turkmenistan,1962,
TCA,Turks and Caicos Islands,1962,-0.235
TUV,Tuvalu,1962,0.134
UGA,Uganda,1962,-0.268
UKR,Ukraine,1962,
ARE,United Arab Emirates,1962,0.567
,United Kingdom,1962,-0.73
TZA,United Republic of Tanzania,1962,-0.274
USA,United States of America,1962,-0.023
VIR,United States Virgin Islands,1962,0.032
URY,Uruguay,1962,-0.484
,USSR,1962,0.429
UZB,Uzbekistan,1962,
VUT,Vanuatu,1962,0.087
VEN,Venezuela (Bolivarian Republic of),1962,-0.132
VNM,Viet Nam,1962,-0.226
WAK,Wake Island,1962,
WLF,Wallis and Futuna Islands,1962,-0.057
ESH,Western Sahara,1962,0.47
YEM,Yemen,1962,-0.006
,Yugoslav SFR,1962,-0.098
ZMB,Zambia,1962,-0.165
ZWE,Zimbabwe,1962,0.242
X01,World,1962,0.034
X06,Africa,1962,-0.04
,Eastern Africa,1962,-0.12
,Middle Africa,1962,-0.176
,Northern Africa,1962,0.129
,Southern Africa,1962,0.13
,Western Africa,1962,-0.12
X21,Americas,1962,-0.084
,Northern America,1962,-0.058
,Central America,1962,0.114
,Caribbean,1962,-0.027
,South America,1962,-0.139
,Asia,1962,-0.008
,Central Asia,1962,
,Eastern Asia,1962,-0.124
,Southern Asia,1962,-0.24
,South-Eastern Asia,1962,-0.089
,Western Asia,1962,0.705
,Europe,1962,0.3
,Eastern Europe,1962,0.405
,Northern Europe,1962,-0.616
,Southern Europe,1962,0.262
,Western Europe,1962,-0.509
,Oceania,1962,0.14
,Australia and New Zealand,1962,0.139
,Melanesia,1962,0.153
,Micronesia,1962,-0.031
,Polynesia,1962,-0.143
,European Union,1962,-0.241
,Least Developed Countries,1962,-0.144
,Land Locked Developing Countries,1962,-0.148
,Small Island Developing States,1962,0.007
,Low Income Food Deficit Countries,1962,-0.186
,Net Food Importing Developing Countries,1962,-0.096
,Annex I countries,1962,0.161
,Non-Annex I countries,1962,-0.059
,OECD,1962,-0.009
AFG,Afghanistan,1963,0.882
ALB,Albania,1963,0.084
DZA,Algeria,1963,0.045
ASM,American Samoa,1963,0.072
AND,Andorra,1963,-0.755
AGO,Angola,1963,-0.176
AIA,Anguilla,1963,0.283
ATA,Antarctica,1963,0.135
ATG,Antigua and Barbuda,1963,0.308
ARG,Argentina,1963,0.146
ARM,Armenia,1963,
ABW,Aruba,1963,-0.041
AUS,Australia,1963,-0.114
AUT,Austria,1963,-0.721
AZE,Azerbaijan,1963,
BHS,Bahamas,1963,-0.125
BHR,Bahrain,1963,0.648
BGD,Bangladesh,1963,-0.081
BRB,Barbados,1963,0.197
BLR,Belarus,1963,
BEL,Belgium,1963,
,Belgium-Luxembourg,1963,-1.171
BLZ,Belize,1963,-0.14
BEN,Benin,1963,0.173
BTN,Bhutan,1963,-0.213
BOL,Bolivia (Plurinational State of),1963,0.449
BIH,Bosnia and Herzegovina,1963,
BWA,Botswana,1963,-0.457
BRA,Brazil,1963,0.149
VGB,British Virgin Islands,1963,0.24
BRN,Brunei Darussalam,1963,-0.227
BGR,Bulgaria,1963,-0.257
BFA,Burkina Faso,1963,0.126
BDI,Burundi,1963,-0.03
CPV,Cabo Verde,1963,0.502
KHM,Cambodia,1963,-0.32
CMR,Cameroon,1963,0.152
CAN,Canada,1963,0.33
CYM,Cayman Islands,1963,-0.209
CAF,Central African Republic,1963,0.021
TCD,Chad,1963,0.275
CHA,Channel Islands,1963,-1.185
CHL,Chile,1963,0.018
CHN,China,1963,0.291
HKG,"China, Hong Kong SAR",1963,0.289
MAC,"China, Macao SAR",1963,0.289
,"China, mainland",1963,0.293
TWN,"China, Taiwan Province of",1963,-0.21
CXR,Christmas Island,1963,
CCK,Cocos (Keeling) Islands,1963,-0.071
COL,Colombia,1963,-0.019
COM,Comoros,1963,-0.278
COG,Congo,1963,0.136
COK,Cook Islands,1963,-0.193
CRI,Costa Rica,1963,
CIV,Côte d'Ivoire,1963,0.164
HRV,Croatia,1963,
CUB,Cuba,1963,-0.138
CYP,Cyprus,1963,0.704
CZE,Czechia,1963,
,Czechoslovakia,1963,-0.722
PRK,Democratic People's Republic of Korea,1963,-0.121
COD,Democratic Republic of the Congo,1963,-0.038
DNK,Denmark,1963,-1.025
DJI,Djibouti,1963,0.036
DMA,Dominica,1963,0.199
DOM,Dominican Republic,1963,-0.021
ECU,Ecuador,1963,-0.144
EGY,Egypt,1963,0.655
SLV,El Salvador,1963,-0.169
GNQ,Equatorial Guinea,1963,0.264
ERI,Eritrea,1963,
EST,Estonia,1963,
SWZ,Eswatini,1963,-0.195
ETH,Ethiopia,1963,
,Ethiopia PDR,1963,0.149
FLK,Falkland Islands (Malvinas),1963,-0.286
FRO,Faroe Islands,1963,-0.057
FJI,Fiji,1963,-0.043
FIN,Finland,1963,-0.4
FRA,France,1963,-0.949
,French Guiana,1963,-0.087
PYF,French Polynesia,1963,-0.083
,French Southern and Antarctic Territories,1963,-0.508
GAB,Gabon,1963,0.259
GMB,Gambia,1963,0.117
GEO,Georgia,1963,
DEU,Germany,1963,-1.084
GHA,Ghana,1963,0.144
GIB,Gibraltar,1963,0.039
GRC,Greece,1963,0.297
GRL,Greenland,1963,0.31
GRD,Grenada,1963,0.184
GLP,Guadeloupe,1963,0.254
GTM,Guatemala,1963,-0.122
GIN,Guinea,1963,0.143
GNB,Guinea-Bissau,1963,0.144
GUY,Guyana,1963,-0.224
HTI,Haiti,1963,-0.096
VAT,Holy See,1963,-0.12
HND,Honduras,1963,-0.266
HUN,Hungary,1963,-0.456
ISL,Iceland,1963,-0.065
IND,India,1963,-0.064
IDN,Indonesia,1963,-0.142
IRN,Iran (Islamic Republic of),1963,0.701
IRQ,Iraq,1963,0.46
IRL,Ireland,1963,-0.772
IMN,Isle of Man,1963,-0.816
ISR,Israel,1963,0.817
ITA,Italy,1963,-0.343
JAM,Jamaica,1963,-0.085
JPN,Japan,1963,-0.063
JOR,Jordan,1963,0.825
KAZ,Kazakhstan,1963,
KEN,Kenya,1963,-0.168
KIR,Kiribati,1963,-0.076
KWT,Kuwait,1963,0.478
KGZ,Kyrgyzstan,1963,
LAO,Lao People's Democratic Republic,1963,-0.427
LVA,Latvia,1963,
LBN,Lebanon,1963,0.753
LSO,Lesotho,1963,0.043
LBR,Liberia,1963,0.138
LBY,Libya,1963,0.206
LIE,Liechtenstein,1963,-0.767
LTU,Lithuania,1963,
LUX,Luxembourg,1963,
MDG,Madagascar,1963,-0.299
MWI,Malawi,1963,-0.378
MYS,Malaysia,1963,-0.144
MDV,Maldives,1963,
MLI,Mali,1963,0.185
MLT,Malta,1963,-0.135
MHL,Marshall Islands,1963,
MTQ,Martinique,1963,0.186
MRT,Mauritania,1963,0.098
MUS,Mauritius,1963,-0.115
MYT,Mayotte,1963,-0.214
MEX,Mexico,1963,0.229
FSM,Micronesia (Federated States of),1963,
MID,Midway Island,1963,0.721
MCO,Monaco,1963,-0.605
MNG,Mongolia,1963,1.174
MNE,Montenegro,1963,
MSR,Montserrat,1963,0.308
MAR,Morocco,1963,0.109
MOZ,Mozambique,1963,-0.366
MMR,Myanmar,1963,-0.134
NAM,Namibia,1963,0.074
NRU,Nauru,1963,
NPL,Nepal,1963,-0.176
NLD,Netherlands,1963,-1.27
ANT,Netherlands Antilles (former),1963,0.088
NCL,New Caledonia,1963,-0.188
NZL,New Zealand,1963,-0.339
NIC,Nicaragua,1963,-0.274
NER,Niger,1963,0.438
NGA,Nigeria,1963,0.248
NIU,Niue,1963,-0.442
NFK,Norfolk Island,1963,0.081
MKD,North Macedonia,1963,
NOR,Norway,1963,-0.136
OMN,Oman,1963,0.399
,Pacific Islands Trust Territory,1963,0.118
PAK,Pakistan,1963,0.425
PLW,Palau,1963,
PSE,Palestine,1963,0.822
PAN,Panama,1963,
PNG,Papua New Guinea,1963,-0.068
PRY,Paraguay,1963,0.903
PER,Peru,1963,0.061
PHL,Philippines,1963,-0.33
,Pitcairn Islands,1963,0.219
POL,Poland,1963,-0.883
PRT,Portugal,1963,-0.071
PRI,Puerto Rico,1963,0.166
QAT,Qatar,1963,0.385
KOR,Republic of Korea,1963,-0.476
MDA,Republic of Moldova,1963,
REU,Réunion,1963,-0.34
ROU,Romania,1963,-0.299
RUS,Russian Federation,1963,
RWA,Rwanda,1963,-0.023
SHN,"Saint Helena, Ascension and Tristan da Cunha",1963,0.059
KNA,Saint Kitts and Nevis,1963,0.308
LCA,Saint Lucia,1963,0.197
SPM,Saint Pierre and Miquelon,1963,-0.163
VCT,Saint Vincent and the Grenadines,1963,0.221
WSM,Samoa,1963,0.02
SMR,San Marino,1963,-0.379
STP,Sao Tome and Principe,1963,0.252
SAU,Saudi Arabia,1963,0.405
SEN,Senegal,1963,0.085
SRB,Serbia,1963,
SCG,Serbia and Montenegro,1963,
SYC,Seychelles,1963,-0.113
SLE,Sierra Leone,1963,0.169
SGP,Singapore,1963,-0.042
SVK,Slovakia,1963,
SVN,Slovenia,1963,
SLB,Solomon Islands,1963,-0.063
SOM,Somalia,1963,-0.224
ZAF,South Africa,1963,0.198
SGS,South Georgia and the South Sandwich Islands,1963,-0.304
SSD,South Sudan,1963,
ESP,Spain,1963,-0.217
LKA,Sri Lanka,1963,-0.055
SDN,Sudan,1963,
,Sudan (former),1963,0.172
SUR,Suriname,1963,-0.073
SJM,Svalbard and Jan Mayen Islands,1963,-2.245
SWE,Sweden,1963,-0.47
CHE,Switzerland,1963,-0.862
SYR,Syrian Arab Republic,1963,0.552
TJK,Tajikistan,1963,
THA,Thailand,1963,-0.329
TLS,Timor-Leste,1963,-0.663
TGO,Togo,1963,0.115
TKL,Tokelau,1963,0.13
TON,Tonga,1963,-0.274
TTO,Trinidad and Tobago,1963,-0.593
TUN,Tunisia,1963,-0.202
TUR,Turkey,1963,0.484
TKM,Turkmenistan,1963,
TCA,Turks and Caicos Islands,1963,0.168
TUV,Tuvalu,1963,0.017
UGA,Uganda,1963,-0.208
UKR,Ukraine,1963,
ARE,United Arab Emirates,1963,0.308
,United Kingdom,1963,-0.864
TZA,United Republic of Tanzania,1963,-0.273
USA,United States of America,1963,0.418
VIR,United States Virgin Islands,1963,0.242
